indicator_id,indicator_name,domain_id,domain,agency_city_id,agency_name,dimension_category_id,dimension_category,dimension_id,dimension,industry,interval,period,unit,value
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,228,Female,N/A,Calendar Year,2011,dollar,998.1861
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,228,Female,N/A,Calendar Year,2016,dollar,1101.099
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,228,Female,N/A,Calendar Year,2006,dollar,890.8822
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,228,Female,N/A,Calendar Year,2013,dollar,1025.8364
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,228,Female,N/A,Calendar Year,2015,dollar,1068.5894
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,228,Female,N/A,Calendar Year,2007,dollar,953.3575
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,228,Female,N/A,Calendar Year,2018,dollar,1200.2485
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,228,Female,N/A,Calendar Year,2010,dollar,976.192
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,228,Female,N/A,Calendar Year,2005,dollar,898.9915
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,228,Female,N/A,Calendar Year,2008,dollar,971.3181
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,228,Female,N/A,Calendar Year,2009,dollar,1002.6318
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,228,Female,N/A,Calendar Year,2012,dollar,985.2075
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,228,Female,N/A,Calendar Year,2014,dollar,1042.021
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,228,Female,N/A,Calendar Year,2017,dollar,1153.4102
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,283,Male,N/A,Calendar Year,2016,dollar,1451.6089
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,283,Male,N/A,Calendar Year,2014,dollar,1346.9494
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,283,Male,N/A,Calendar Year,2010,dollar,1239.1642
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,283,Male,N/A,Calendar Year,2006,dollar,1150.2281
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,283,Male,N/A,Calendar Year,2012,dollar,1256.8846
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,283,Male,N/A,Calendar Year,2013,dollar,1310.168
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,283,Male,N/A,Calendar Year,2015,dollar,1377.023
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,283,Male,N/A,Calendar Year,2018,dollar,1571.4613
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,283,Male,N/A,Calendar Year,2008,dollar,1275.3277
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,283,Male,N/A,Calendar Year,2005,dollar,1164.6902
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,283,Male,N/A,Calendar Year,2017,dollar,1477.2429
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,283,Male,N/A,Calendar Year,2011,dollar,1266.3038
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,283,Male,N/A,Calendar Year,2007,dollar,1214.0207
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),12,Gender,283,Male,N/A,Calendar Year,2009,dollar,1296.2313
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,208,Black non-Hispanic,N/A,Calendar Year,2015,dollar,868.8957
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,208,Black non-Hispanic,N/A,Calendar Year,2009,dollar,830.6069
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,208,Black non-Hispanic,N/A,Calendar Year,2011,dollar,866.5483
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,208,Black non-Hispanic,N/A,Calendar Year,2010,dollar,839.9665
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,208,Black non-Hispanic,N/A,Calendar Year,2012,dollar,848.6872
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,208,Black non-Hispanic,N/A,Calendar Year,2013,dollar,857.7401
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,208,Black non-Hispanic,N/A,Calendar Year,2016,dollar,941.5736
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,208,Black non-Hispanic,N/A,Calendar Year,2005,dollar,793.7037
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,208,Black non-Hispanic,N/A,Calendar Year,2017,dollar,958.2815
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,208,Black non-Hispanic,N/A,Calendar Year,2018,dollar,1017.7916
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,208,Black non-Hispanic,N/A,Calendar Year,2014,dollar,860.1804
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,208,Black non-Hispanic,N/A,Calendar Year,2007,dollar,797.3996
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,208,Black non-Hispanic,N/A,Calendar Year,2008,dollar,811.4585
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,208,Black non-Hispanic,N/A,Calendar Year,2006,dollar,790.983
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,238,Hispanic,N/A,Calendar Year,2005,dollar,689.7199
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,238,Hispanic,N/A,Calendar Year,2007,dollar,709.7483
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,238,Hispanic,N/A,Calendar Year,2011,dollar,730.4383
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,238,Hispanic,N/A,Calendar Year,2006,dollar,660.0471
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,238,Hispanic,N/A,Calendar Year,2015,dollar,819.5202
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,238,Hispanic,N/A,Calendar Year,2016,dollar,804.5156
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,238,Hispanic,N/A,Calendar Year,2018,dollar,893.9221
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,238,Hispanic,N/A,Calendar Year,2014,dollar,754.9765
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,238,Hispanic,N/A,Calendar Year,2017,dollar,888.8011
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,238,Hispanic,N/A,Calendar Year,2010,dollar,716.7082
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,238,Hispanic,N/A,Calendar Year,2013,dollar,740.2454
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,238,Hispanic,N/A,Calendar Year,2009,dollar,706.5858
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,238,Hispanic,N/A,Calendar Year,2012,dollar,725.9218
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,238,Hispanic,N/A,Calendar Year,2008,dollar,689.7783
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,436,White non-Hispanic,N/A,Calendar Year,2006,dollar,1473.5627
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,436,White non-Hispanic,N/A,Calendar Year,2012,dollar,1609.9141
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,436,White non-Hispanic,N/A,Calendar Year,2016,dollar,1876.7405
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,436,White non-Hispanic,N/A,Calendar Year,2018,dollar,2006.4313
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,436,White non-Hispanic,N/A,Calendar Year,2008,dollar,1667.6988
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,436,White non-Hispanic,N/A,Calendar Year,2007,dollar,1591.4606
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,436,White non-Hispanic,N/A,Calendar Year,2014,dollar,1742.8406
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,436,White non-Hispanic,N/A,Calendar Year,2013,dollar,1673.7171
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,436,White non-Hispanic,N/A,Calendar Year,2005,dollar,1484.3355
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,436,White non-Hispanic,N/A,Calendar Year,2017,dollar,1924.5855
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,436,White non-Hispanic,N/A,Calendar Year,2009,dollar,1671.4563
1,Average Earnings,5,Economic Security & Mobility,210,NYC  Mayor's Office for Economic Opportunity (NYC Opportunity),23,Race/Ethnicity,436,White non-Hispanic,N/A,Calendar Year,2010,dollar,1595.8378
